Entity,Code,Year,Deaths - Drug use disorders - Sex: Both - Age: Under 5 (Number),Deaths - Drug use disorders - Sex: Both - Age: 70+ years (Number),Deaths - Drug use disorders - Sex: Both - Age: 15-49 years (Number),Deaths - Drug use disorders - Sex: Both - Age: 50-69 years (Number),Deaths - Drug use disorders - Sex: Both - Age: 5-14 years (Number)
Angola,AGO,2017,0,7,53,9,0
Angola,AGO,2018,0,8,57,10,0
Angola,AGO,2019,0,8,60,11,0
Antigua and Barbuda,ATG,1990,0,0,0,0,0
Antigua and Barbuda,ATG,1991,0,0,0,0,0
Antigua and Barbuda,ATG,1992,0,0,0,0,0
Antigua and Barbuda,ATG,1993,0,0,0,0,0
Antigua and Barbuda,ATG,1994,0,0,0,0,0
Antigua and Barbuda,ATG,1995,0,0,0,0,0
Antigua and Barbuda,ATG,1996,0,0,0,0,0
Antigua and Barbuda,ATG,1997,0,0,0,0,0
Antigua and Barbuda,ATG,1998,0,0,0,0,0
Antigua and Barbuda,ATG,1999,0,0,0,0,0
Antigua and Barbuda,ATG,2000,0,0,0,0,0
Antigua and Barbuda,ATG,2001,0,0,0,0,0
Antigua and Barbuda,ATG,2002,0,0,0,0,0
Antigua and Barbuda,ATG,2003,0,0,0,0,0
Antigua and Barbuda,ATG,2004,0,0,0,0,0
Antigua and Barbuda,ATG,2005,0,0,0,0,0
Antigua and Barbuda,ATG,2006,0,0,0,0,0
Antigua and Barbuda,ATG,2007,0,0,0,0,0
Antigua and Barbuda,ATG,2008,0,0,0,0,0
Antigua and Barbuda,ATG,2009,0,0,0,0,0
Antigua and Barbuda,ATG,2010,0,0,0,0,0
Antigua and Barbuda,ATG,2011,0,0,0,0,0
Antigua and Barbuda,ATG,2012,0,0,0,0,0
Antigua and Barbuda,ATG,2013,0,0,0,0,0
Antigua and Barbuda,ATG,2014,0,0,0,0,0
Antigua and Barbuda,ATG,2015,0,0,0,0,0
Antigua and Barbuda,ATG,2016,0,0,0,0,0
Antigua and Barbuda,ATG,2017,0,0,0,0,0
Antigua and Barbuda,ATG,2018,0,0,0,0,0
Antigua and Barbuda,ATG,2019,0,0,0,0,0
Argentina,ARG,1990,0,4,12,6,0
Argentina,ARG,1991,0,4,13,7,0
Argentina,ARG,1992,0,5,14,7,0
Argentina,ARG,1993,0,5,14,7,0
Argentina,ARG,1994,0,5,15,8,0
Argentina,ARG,1995,0,6,16,8,0
Argentina,ARG,1996,0,6,17,8,0
Argentina,ARG,1997,0,7,18,9,0
Argentina,ARG,1998,0,9,20,10,2
Argentina,ARG,1999,0,10,20,10,2
Argentina,ARG,2000,0,10,20,10,2
Argentina,ARG,2001,1,11,21,10,2
Argentina,ARG,2002,1,11,21,10,2
Argentina,ARG,2003,0,11,21,10,2
Argentina,ARG,2004,0,11,20,10,3
Argentina,ARG,2005,0,12,21,10,3
Argentina,ARG,2006,1,12,22,11,3
Argentina,ARG,2007,1,13,24,11,3
Argentina,ARG,2008,1,14,25,12,3
Argentina,ARG,2009,1,14,26,12,3
Argentina,ARG,2010,1,16,27,13,3
Argentina,ARG,2011,1,17,29,14,4
Argentina,ARG,2012,1,18,30,15,4
Argentina,ARG,2013,1,19,32,16,4
Argentina,ARG,2014,1,20,33,16,4
Argentina,ARG,2015,2,21,34,17,4
Argentina,ARG,2016,2,23,36,18,4
Argentina,ARG,2017,0,24,38,19,0
Argentina,ARG,2018,0,24,39,20,0
Argentina,ARG,2019,0,25,41,20,0
Armenia,ARM,1990,0,1,3,1,0
Armenia,ARM,1991,0,1,3,2,0
Armenia,ARM,1992,0,1,4,2,0
Armenia,ARM,1993,0,1,4,2,0
Armenia,ARM,1994,0,1,4,2,0
Armenia,ARM,1995,0,1,4,2,0
Armenia,ARM,1996,0,1,3,2,0
Armenia,ARM,1997,0,1,3,2,0
Armenia,ARM,1998,0,1,3,2,0
Armenia,ARM,1999,0,1,3,2,0
Armenia,ARM,2000,0,1,3,2,0
Armenia,ARM,2001,0,1,3,2,0
Armenia,ARM,2002,0,1,3,2,0
Armenia,ARM,2003,0,1,3,2,0
Armenia,ARM,2004,0,2,3,2,0
Armenia,ARM,2005,0,2,4,2,0
Armenia,ARM,2006,0,2,4,2,0
Armenia,ARM,2007,0,2,4,2,0
Armenia,ARM,2008,0,2,5,2,0
Armenia,ARM,2009,0,2,5,3,0
Armenia,ARM,2010,0,3,5,3,0
Armenia,ARM,2011,0,3,5,3,0
Armenia,ARM,2012,0,2,4,3,0
Armenia,ARM,2013,0,2,4,3,0
Armenia,ARM,2014,0,2,4,3,0
Armenia,ARM,2015,0,2,4,3,0
Armenia,ARM,2016,0,2,4,3,0
Armenia,ARM,2017,0,3,4,3,0
Armenia,ARM,2018,0,3,4,3,0
Armenia,ARM,2019,0,3,4,3,0
Australia,AUS,1990,0,13,409,35,0
Australia,AUS,1991,0,15,433,38,0
Australia,AUS,1992,0,16,478,41,0
Australia,AUS,1993,0,18,520,44,0
Australia,AUS,1994,0,21,591,48,0
Australia,AUS,1995,0,22,667,51,0
Australia,AUS,1996,0,24,710,55,0
Australia,AUS,1997,0,26,781,61,0
Australia,AUS,1998,0,28,842,67,0
Australia,AUS,1999,0,28,853,73,0
Australia,AUS,2000,0,28,789,78,0
Australia,AUS,2001,0,28,671,83,0
Australia,AUS,2002,0,29,632,90,0
Australia,AUS,2003,0,32,638,98,0
Australia,AUS,2004,0,33,643,107,0
Australia,AUS,2005,0,34,652,118,0
Australia,AUS,2006,0,36,627,124,0
Australia,AUS,2007,0,36,594,127,0
Australia,AUS,2008,0,35,556,128,0
Australia,AUS,2009,0,35,526,132,0
Australia,AUS,2010,0,35,526,138,0
Australia,AUS,2011,0,38,549,151,0
Australia,AUS,2012,0,40,565,162,0
Australia,AUS,2013,0,42,594,177,0
Australia,AUS,2014,0,45,645,197,0
Australia,AUS,2015,0,48,693,212,0
Australia,AUS,2016,0,51,728,223,0
Australia,AUS,2017,0,55,756,228,0
Australia,AUS,2018,0,61,787,238,0
Australia,AUS,2019,0,65,815,247,0
Austria,AUT,1990,0,1,65,4,0
Austria,AUT,1991,0,2,79,5,0
Austria,AUT,1992,0,2,96,6,0
Austria,AUT,1993,0,2,115,6,0
Austria,AUT,1994,0,2,132,7,0
Austria,AUT,1995,0,3,139,8,0
Austria,AUT,1996,0,3,141,8,0
Austria,AUT,1997,0,3,136,8,0
Austria,AUT,1998,0,3,134,9,0
Austria,AUT,1999,0,3,141,10,0
Austria,AUT,2000,0,4,151,11,0
Austria,AUT,2001,0,4,150,11,0
Austria,AUT,2002,0,4,151,12,0
Austria,AUT,2003,0,5,167,13,0
Austria,AUT,2004,0,5,173,14,0
Austria,AUT,2005,0,5,177,15,0
Austria,AUT,2006,0,5,179,17,0
Austria,AUT,2007,0,6,181,18,0
Austria,AUT,2008,0,6,183,20,0
Austria,AUT,2009,0,6,185,22,0
Austria,AUT,2010,0,7,181,23,0
Austria,AUT,2011,0,7,175,24,0
Austria,AUT,2012,0,8,161,25,0
Austria,AUT,2013,0,8,146,25,0
Austria,AUT,2014,0,8,132,24,0
Austria,AUT,2015,0,8,122,24,0
Austria,AUT,2016,0,8,113,23,0
Austria,AUT,2017,0,8,106,22,0
Austria,AUT,2018,0,8,108,22,0
Austria,AUT,2019,0,9,109,22,0
Azerbaijan,AZE,1990,0,1,10,3,0
Azerbaijan,AZE,1991,0,1,12,3,0
Azerbaijan,AZE,1992,0,1,17,3,0
Azerbaijan,AZE,1993,0,1,18,4,0
Azerbaijan,AZE,1994,0,1,20,4,0
Azerbaijan,AZE,1995,0,1,18,4,0
Azerbaijan,AZE,1996,0,1,16,4,0
Azerbaijan,AZE,1997,0,1,15,4,0
Azerbaijan,AZE,1998,0,1,15,4,0
Azerbaijan,AZE,1999,0,1,15,4,0
Azerbaijan,AZE,2000,0,1,16,4,0
Azerbaijan,AZE,2001,0,2,19,4,0
Azerbaijan,AZE,2002,0,2,20,4,0
Azerbaijan,AZE,2003,0,2,21,5,0
Azerbaijan,AZE,2004,0,2,21,5,0
Azerbaijan,AZE,2005,0,2,22,5,0
Azerbaijan,AZE,2006,0,3,22,5,0
Azerbaijan,AZE,2007,0,3,21,5,0
Azerbaijan,AZE,2008,0,3,22,6,0
Azerbaijan,AZE,2009,0,3,22,6,0
Azerbaijan,AZE,2010,0,3,23,6,0
Azerbaijan,AZE,2011,0,3,24,7,0
Azerbaijan,AZE,2012,0,4,23,7,0
Azerbaijan,AZE,2013,0,4,23,7,0
Azerbaijan,AZE,2014,0,4,23,8,0
Azerbaijan,AZE,2015,0,3,23,8,0
Azerbaijan,AZE,2016,0,4,22,9,0
Azerbaijan,AZE,2017,0,4,23,10,0
Azerbaijan,AZE,2018,0,3,24,10,0
Azerbaijan,AZE,2019,0,3,25,10,0
Bahamas,BHS,1990,0,0,0,0,0
Bahamas,BHS,1991,0,0,0,0,0
Bahamas,BHS,1992,0,0,1,0,0
Bahamas,BHS,1993,0,0,1,0,0
Bahamas,BHS,1994,0,0,1,0,0
Bahamas,BHS,1995,0,0,1,0,0
Bahamas,BHS,1996,0,0,1,0,0
Bahamas,BHS,1997,0,0,1,0,0
Bahamas,BHS,1998,0,0,1,0,0
Bahamas,BHS,1999,0,0,1,0,0
Bahamas,BHS,2000,0,0,1,0,0
Bahamas,BHS,2001,0,0,1,0,0
Bahamas,BHS,2002,0,0,1,0,0
Bahamas,BHS,2003,0,0,1,0,0
Bahamas,BHS,2004,0,0,1,0,0
Bahamas,BHS,2005,0,0,1,0,0
Bahamas,BHS,2006,0,0,1,0,0
Bahamas,BHS,2007,0,0,1,0,0
Bahamas,BHS,2008,0,0,1,0,0
Bahamas,BHS,2009,0,0,1,0,0
Bahamas,BHS,2010,0,0,1,0,0
Bahamas,BHS,2011,0,0,1,0,0
Bahamas,BHS,2012,0,0,1,0,0
Bahamas,BHS,2013,0,0,1,0,0
Bahamas,BHS,2014,0,0,1,0,0
Bahamas,BHS,2015,0,0,1,0,0
Bahamas,BHS,2016,0,0,1,0,0
Bahamas,BHS,2017,0,0,1,0,0
Bahamas,BHS,2018,0,0,1,0,0
Bahamas,BHS,2019,0,0,1,0,0
Bahrain,BHR,1990,0,0,1,0,0
Bahrain,BHR,1991,0,0,1,0,0
Bahrain,BHR,1992,0,0,1,0,0
Bahrain,BHR,1993,0,0,1,0,0
Bahrain,BHR,1994,0,0,1,0,0
Bahrain,BHR,1995,0,0,1,0,0
Bahrain,BHR,1996,0,0,1,0,0
Bahrain,BHR,1997,0,0,1,0,0
Bahrain,BHR,1998,0,0,1,0,0
Bahrain,BHR,1999,0,0,1,0,0
Bahrain,BHR,2000,0,0,2,0,0
Bahrain,BHR,2001,0,0,2,0,0
Bahrain,BHR,2002,0,0,1,0,0
Bahrain,BHR,2003,0,0,2,0,0
Bahrain,BHR,2004,0,0,2,0,0
Bahrain,BHR,2005,0,0,2,0,0
Bahrain,BHR,2006,0,0,2,0,0
Bahrain,BHR,2007,0,0,2,0,0
Bahrain,BHR,2008,0,0,2,0,0
Bahrain,BHR,2009,0,0,2,0,0
Bahrain,BHR,2010,0,0,2,0,0
Bahrain,BHR,2011,0,0,2,0,0
Bahrain,BHR,2012,0,0,2,0,0
Bahrain,BHR,2013,0,0,2,0,0
Bahrain,BHR,2014,0,0,3,0,0
Bahrain,BHR,2015,0,0,3,0,0
Bahrain,BHR,2016,0,0,3,0,0
Bahrain,BHR,2017,0,0,3,0,0
Bahrain,BHR,2018,0,0,3,1,0
Bahrain,BHR,2019,0,0,3,1,0
Bangladesh,BGD,1990,0,13,158,29,0
Bangladesh,BGD,1991,0,12,147,27,0
Bangladesh,BGD,1992,0,12,151,28,0
Bangladesh,BGD,1993,0,12,152,28,0
Bangladesh,BGD,1994,0,12,154,29,0
Bangladesh,BGD,1995,0,13,160,31,0
Bangladesh,BGD,1996,0,13,160,31,0
Bangladesh,BGD,1997,0,13,159,32,0
Bangladesh,BGD,1998,0,14,157,32,0
Bangladesh,BGD,1999,0,14,155,33,0
Bangladesh,BGD,2000,0,15,159,34,0
Bangladesh,BGD,2001,0,15,156,35,0
Bangladesh,BGD,2002,0,16,152,36,0
Bangladesh,BGD,2003,0,17,149,37,0
Bangladesh,BGD,2004,0,18,148,38,0
Bangladesh,BGD,2005,0,18,154,40,0
Bangladesh,BGD,2006,0,19,159,42,0
Bangladesh,BGD,2007,0,20,162,43,0
Bangladesh,BGD,2008,0,20,160,44,0
Bangladesh,BGD,2009,0,21,161,45,0
Bangladesh,BGD,2010,0,22,160,47,0
Bangladesh,BGD,2011,0,21,152,48,0
Bangladesh,BGD,2012,0,20,148,49,0
Bangladesh,BGD,2013,0,22,153,50,0
Bangladesh,BGD,2014,0,25,167,51,0
Bangladesh,BGD,2015,0,26,153,54,0
Bangladesh,BGD,2016,0,29,164,56,0
Bangladesh,BGD,2017,0,33,178,60,0
Bangladesh,BGD,2018,0,36,187,63,0
Bangladesh,BGD,2019,0,39,195,65,0
Barbados,BRB,1990,0,0,0,0,0
Barbados,BRB,1991,0,0,0,0,0
Barbados,BRB,1992,0,0,0,0,0
Barbados,BRB,1993,0,0,0,0,0
Barbados,BRB,1994,0,0,0,0,0
Barbados,BRB,1995,0,0,0,0,0
Barbados,BRB,1996,0,0,0,0,0
Barbados,BRB,1997,0,0,0,0,0
Barbados,BRB,1998,0,0,1,0,0
Barbados,BRB,1999,0,0,1,0,0
Barbados,BRB,2000,0,0,1,0,0
Barbados,BRB,2001,0,0,1,0,0
Barbados,BRB,2002,0,0,1,0,0
Barbados,BRB,2003,0,0,1,0,0
Barbados,BRB,2004,0,0,1,0,0
Barbados,BRB,2005,0,0,1,0,0
Barbados,BRB,2006,0,0,1,0,0
Barbados,BRB,2007,0,0,1,0,0
Barbados,BRB,2008,0,0,1,0,0
Barbados,BRB,2009,0,0,0,0,0
Barbados,BRB,2010,0,0,0,0,0
Barbados,BRB,2011,0,0,0,0,0
Barbados,BRB,2012,0,0,0,0,0
Barbados,BRB,2013,0,0,0,0,0
Barbados,BRB,2014,0,0,0,0,0
Barbados,BRB,2015,0,0,0,0,0
Barbados,BRB,2016,0,0,0,0,0
Barbados,BRB,2017,0,0,0,0,0
Barbados,BRB,2018,0,0,0,0,0
Barbados,BRB,2019,0,0,0,0,0
Belarus,BLR,1990,0,17,76,38,0
Belarus,BLR,1991,0,18,85,42,0
Belarus,BLR,1992,0,18,94,45,0
Belarus,BLR,1993,0,20,106,49,0
Belarus,BLR,1994,0,21,111,50,0
Belarus,BLR,1995,0,21,118,52,0
Belarus,BLR,1996,0,21,121,50,0
Belarus,BLR,1997,0,23,125,51,0
Belarus,BLR,1998,0,24,135,54,0
Belarus,BLR,1999,0,26,150,58,0
Belarus,BLR,2000,0,27,152,58,0
Belarus,BLR,2001,0,30,178,66,0
Belarus,BLR,2002,0,38,257,87,0
Belarus,BLR,2003,0,40,282,88,0
Belarus,BLR,2004,0,40,263,81,0
Belarus,BLR,2005,0,43,261,80,0
Belarus,BLR,2006,0,44,240,76,0
Belarus,BLR,2007,0,46,232,76,0
Belarus,BLR,2008,0,49,201,68,0
Belarus,BLR,2009,0,55,200,70,0
Belarus,BLR,2010,0,66,233,84,0
Belarus,BLR,2011,0,70,213,81,0
Belarus,BLR,2012,0,72,197,78,0
Belarus,BLR,2013,0,77,188,81,0
Belarus,BLR,2014,0,81,169,81,0
Belarus,BLR,2015,0,78,141,78,0
Belarus,BLR,2016,0,78,121,76,0
Belarus,BLR,2017,0,76,106,73,0
Belarus,BLR,2018,0,73,100,71,0
Belarus,BLR,2019,0,72,94,69,0
Belgium,BEL,1990,0,13,46,11,0
Belgium,BEL,1991,0,15,55,12,0
Belgium,BEL,1992,0,16,62,12,0
Belgium,BEL,1993,0,19,74,14,0
Belgium,BEL,1994,0,20,85,15,0
Belgium,BEL,1995,0,20,93,16,0
Belgium,BEL,1996,0,20,100,17,0
Belgium,BEL,1997,0,21,103,17,0
Belgium,BEL,1998,0,20,102,17,0
Belgium,BEL,1999,0,21,111,18,0
Belgium,BEL,2000,0,24,119,19,0
Belgium,BEL,2001,0,25,118,19,0
Belgium,BEL,2002,0,27,115,20,0
Belgium,BEL,2003,0,28,114,21,0
Belgium,BEL,2004,0,29,111,22,0
Belgium,BEL,2005,0,30,113,23,0
Belgium,BEL,2006,0,31,115,24,0
Belgium,BEL,2007,0,33,123,26,0
Belgium,BEL,2008,0,35,130,29,0
Belgium,BEL,2009,0,37,132,31,0
Belgium,BEL,2010,0,39,131,32,0
Belgium,BEL,2011,0,39,125,33,0
Belgium,BEL,2012,0,41,122,35,0
Belgium,BEL,2013,0,41,121,36,0
Belgium,BEL,2014,0,42,121,37,0
Belgium,BEL,2015,0,43,121,39,0
Belgium,BEL,2016,0,43,122,39,0
Belgium,BEL,2017,0,45,126,40,0
Belgium,BEL,2018,0,47,129,41,0
Belgium,BEL,2019,0,49,133,42,0
Belize,BLZ,1990,0,0,0,0,0
Belize,BLZ,1991,0,0,0,0,0
Belize,BLZ,1992,0,0,0,0,0
Belize,BLZ,1993,0,0,0,0,0
Belize,BLZ,1994,0,0,0,0,0
Belize,BLZ,1995,0,0,0,0,0
Belize,BLZ,1996,0,0,0,0,0
Belize,BLZ,1997,0,0,0,0,0
Belize,BLZ,1998,0,0,0,0,0
Belize,BLZ,1999,0,0,0,0,0
Belize,BLZ,2000,0,0,0,0,0
Belize,BLZ,2001,0,0,1,0,0
Belize,BLZ,2002,0,0,1,0,0
Belize,BLZ,2003,0,0,0,0,0
Belize,BLZ,2004,0,0,0,0,0
Belize,BLZ,2005,0,0,0,0,0
Belize,BLZ,2006,0,0,0,0,0
Belize,BLZ,2007,0,0,0,0,0
Belize,BLZ,2008,0,0,0,0,0
Belize,BLZ,2009,0,0,0,0,0
Belize,BLZ,2010,0,0,0,0,0
Belize,BLZ,2011,0,0,0,0,0
Belize,BLZ,2012,0,0,0,0,0
Belize,BLZ,2013,0,0,0,0,0
Belize,BLZ,2014,0,0,0,0,0
Belize,BLZ,2015,0,0,0,0,0
Belize,BLZ,2016,0,0,1,0,0
Belize,BLZ,2017,0,0,1,0,0
Belize,BLZ,2018,0,0,1,0,0
Belize,BLZ,2019,0,0,1,0,0
Benin,BEN,1990,0,1,3,1,0
Benin,BEN,1991,0,1,3,1,0
Benin,BEN,1992,0,1,3,1,0
Benin,BEN,1993,0,1,3,1,0
